ID,Nome,Descendentes,Orientandos_Diretos
66372,Gustavo Hoepfner,5,5
65227,Alexandre Kirilov,6,6
66703,Sânzara Costa,0,1
67190,Antonio Martins,8,1
67698,Francisco Julio Correa,1,1
67212,Luiz Antonio Santana,0,1
67700,Joao Carlos Padua,0,1
67699,João Xavier,0,1
67701,Celius Magalhães,0,1
67703,Emerson Abreu,0,1
67702,Francisco Odair de Paiva,1,1
67697,Jose Valdo Goncalves,47,16
67706,Daniel Morais-Filho,0,1
67705,Helder Rodrigues,1,1
67707,Pedro Ubilla,3,3
67708,Carlos Cabezas,1,1
67710,Marco Aurelio Souto,0,1
67709,Jesus Alfonso Sanchez,0,1
67704,João Marcos do Ó,20,20
67712,Marcos Montenegro,7,1
67952,Edson Agustini,0,1
67711,Marcelo Montenegro,10,8
68585,Jorge Pereira,8,7
68834,Pilar Iglesias Zuazola,3,2
68843,Loretta Gasco,0,1
68852,Gonzalo Panizo,1,1
69793,Luis Grana Drummond,0,1
69366,Cicero Cavalcante,0,1
69192,Jorge Sotomayor Tello,32,7
69792,Benar Svaiter,7,4
69218,Ronaldo Garcia,7,7
69794,Luis Lucambio Perez,1,1
69797,Rolando Garciga Otero,0,1
69796,Wilfredo Sosa Sandoval,6,3
69821,Hermano Frid,5,2
69795,Regina Burachik,12,9
69975,Karin Breitman,0,1
70400,Jurandir Lopes,0,1
70407,Marina Vachkovskaia,0,1
70794,Valentin Sisko,0,1
71669,Eduardo Vasconcelos,0,1
71671,Claudia Cardoso,0,1
70754,Gabriela Planas,7,7
71673,Cleide Rodriques,0,1
71674,Francisco Rojas,0,1
71679,Paulo Hollanda-Sales,0,1
71677,Enivaldo Rocha,0,1
71684,Armando Nogueira,0,1
71828,Paulo Sabini,0,1
71798,Adriano de Moura,6,6
72190,Tereza Dias,0,1
72187,Adelbar Sampaio,0,1
72192,Santiago Carvajal,0,1
72198,Luis Velarde,0,1
72205,Maria Cavalcante,0,1
72206,Ela Toscano,0,1
72201,Ailton Vieira,0,1
72208,Suzana Druck,0,1
72521,Miriam Abdon,0,1
72209,Tereza Chaves da Silva,0,1
73249,José Leite,1,1
73251,Victor Salinas-Torres,0,1
73250,Carlos Paulino,2,2
73254,Luiz Montoya-Delgado,0,1
73253,Benedicto Benze,0,1
73255,Verónica González-López,1,1
73256,Rita Cardoso,0,1
73257,Maria Madruga-Tavares,0,1
74143,Michelle Dysman,0,1
73996,Nivaldo Medeiros,0,1
73995,Xu Cheng,3,3
74144,Krerley Oliveira,4,4
74308,Edmundo de Oliveira,3,3
74319,Sebastian Lorca,1,1
74318,Eduardo Morales,7,5
74320,Maria Medar,0,1
74321,João Lukaszczyk,0,1
74322,Janete Crema,0,1
74325,Marcio Rosa,0,1
74326,Mariano Poblete-Cantellano,0,1
74317,Marko Rojas Medar,22,16
74327,Pedro Damázio,0,1
74328,Elva Ortega-Torres,1,1
74329,Márcio Rocha,0,1
74330,Denilson Gomes,0,1
74331,Eduardo Cuello,0,1
74343,Alexandre Trovon de Caravalho,0,1
74346,Vera Figueiredo,0,1
74347,Miriam Scanavini,0,1
74345,Antonio Moya,0,1
74355,Adolfo Maia Jr.,1,1
74354,Jayme Vaz Júnior,6,3
74356,Rogério de Aguiar,0,1
74972,Fabio Brochero,2,2
74418,Luis Esteves,4,4
75104,José Seixasd,1,1
75103,Alcione Santos,0,1
75279,Wilmer Colmenárez,1,1
75378,Paulo Leite,0,1
76003,José Maiorino,0,1
76167,Luis Cortes-Vega,0,1
76790,Victor Jorge Pérez,0,1
76918,Simone Cruz,0,1
76924,José Zeni,0,1
76917,Flavia Branco,0,1
77902,Andre Rogatko,0,1
77934,Quintino Gomes de Souza,0,1
79313,José Antonio Vilhena,0,1
79395,Rinaldo Schinazi,1,1
78527,Antonio Muniz Neto,5,4
77966,Marcelo Frias,5,2
79823,Samuel Silva,0,1
79396,Fábio Machado,16,10
79831,Jair Donadelli,0,1
79412,Eduardo Ochs,0,1
79847,Antonio Engler,4,4
80140,Carlos Matheus,2,2
80289,Laura Bahiense,0,1
80290,Borys Alvarez Samaniego,0,1
80355,Juan Pablo Torres-Martínez,2,2
80542,Xavier Carvajal Paredes,3,3
80603,João Carlos Medrado,3,3
80696,Adilson Brandão,0,1
80602,Bernardo de Lima,3,3
80697,Yurilev Chalco-Cano,0,1
81385,Mahendra Panthee,1,1
81421,Adán J. Fernández,0,1
80698,Lucelina dos Santos,1,1
80616,Marco Teixeira,42,14
81436,Márcio Nascimento,0,1
82894,José Fábio Montenegro,1,1
82946,Fernando Xavier,0,1
83262,Francisco Antonio Doria,3,3
83365,Gláucio Terra,0,1
83530,Luis Gustavo Mendes,0,1
82991,Grey Ercole,8,8
83670,Anamaria Gomide,0,1
83671,Luiz Lozada,0,1
83537,Alcides Lins Neto,20,7
83672,Helena Leitão,0,1
83673,Marcus Andrade,0,1
84267,Ivan Aguilar Maron,0,1
84552,Irene Craveiro,0,1
84928,Angelo Barone Netto,63,3
85114,Juan Carlos Muñoz Grajales,1,1
85115,Daniel Alfaro Vigo,2,2
85116,William Roqueta,0,1
85327,Jones Colombo,0,1
85448,Barbara Olbermann,0,1
84290,Olimpio Miyagaki,23,23
84573,José Martínez,35,26
85775,Pedro Salomão,3,3
85777,Glauber Cintra,0,1
85779,Liliane Salgado,0,1
85780,Maria Angela Gurgel,0,1
85781,Orlando Lee,2,2
85782,Estela Maris Rodrigues,0,1
85778,Flávio Miyazawa,10,8
85784,Clodoaldo Ragazzo,5,2
86424,Márcia Gomes-Ruggiero,2,1
86842,António dos Santos,1,1
86712,José Fajardo,0,1
86909,Parham Salehyan,0,1
86787,Norberto Maidana,3,3
87126,Percy Fernández,3,3
87127,Julio Martins,0,1
87131,Airton de Medeiros,0,1
87129,Renato Benazic Tomé,0,1
87128,Bruno Scardua,7,7
87578,Stella Brassesco,0,1
87132,Rogerio Mol,4,4
87580,Claudia Peixoto,1,1
87579,Adrian Luna,0,1
87825,Maria Gaspar,0,1
88535,Nuno Luzia,0,1
88589,Silvano Bezerra,0,1
88590,Liliana Leon,0,1
88534,Alexander Arbieto,13,9
88591,E. Machtyngier,0,1
88592,Raul Prado Raya,0,1
88721,Leonardo Macarini,0,1
88742,Nalvo Almeida,0,1
88760,Iberê Caldas,8,2
88614,Luis Medeiros,91,5
88841,Fábio Martinez,0,1
88593,Fágner Araruna,11,7
88840,Ricardo Viana,6,6
88846,Flávio Leonardo de Moura,0,1
89561,Sergio Ventura,0,1
89549,Ernesto Birgin,2,2
90259,Luis Florit,2,2
90260,Ruy Tojeiro,1,1
90646,Julia Wrobel,0,1
90261,Enaldo Vergasta,0,1
88842,Daniel Pellegrino,15,15
90262,Sergio Silva,0,1
91113,Paulo da Silva,3,3
91232,Ricardo Sa Earp,6,4
91270,Marcos Alexandrino,2,2
92400,Luis Felipe Figueroa,0,1
91569,Irene Onnis,0,1
92401,Jacira Carvalho da Rocha,0,1
92451,Mario da Silva,0,1
92452,Maria Herminia Mello,0,1
92450,Nelson Garcia,0,1
92479,Ilma Marques,0,1
92480,Edson Alex Iriarte,0,1
92481,Hugo Alex Diniz,0,1
92482,Fabio Pereira,0,1
92581,Claus Haetinger,0,1
92626,Adilson Berlatto,0,1
92853,Nizam Omar,1,1
93009,Liang Zhao,0,1
93026,Flavio Padua,0,1
93027,José Queiroz-Neto,0,1
93415,Susana Fornari,0,1
93416,Claudio Dias,0,1
93417,Maria Druetta de Martinez,4,1
93414,Jaime Ripoll,10,10
93714,Daniela Guiol,0,1
93835,Aldo Portela,0,1
93847,Ricardo Mosna,0,1
94682,Marcio Ferreira,0,1
94847,Giovanni da Silva Nunes,0,1
93848,Roldão da Rocha Júnior,3,3
94848,Fidélis Bittencourt,0,1
93695,Antonio Galves,21,14
94850,Pedro Fusieger,0,1
94849,Arì Aiolfi,1,1
94898,Gervásio Bastos,1,1
94899,Cristina D. Dutra,0,1
94901,Mauri Cunha do Nascimento,0,1
94902,João Nogueira,0,1
94918,Elias Guio,0,1
94919,Javier Ordóñez Barrientos,0,1
95127,Paulo Viana,4,2
95175,Oswaldo Alves,0,1
95128,Renata Rosa,3,1
95072,Renato Cintra,7,7
95285,Rafael dos Santos Kapp,0,1
95176,Elcio Lebensztayn,8,4
95445,Dayse Pastore,0,1
95464,Alvaro Garzon,0,1
95466,Juscelino Bezerra dos Santos,0,1
95496,Francisco Luiz Pimentel,0,1
95467,Luciane Quoos,1,1
95497,Daniel Levcovitz,0,1
95498,Hermínio Borges Neto,0,1
95465,Fernando Torres,10,10
95500,Maria Lúcia Torres Villela,0,1
95499,Hernando Bedoya,0,1
95501,Cícero Fernandes de Carvalho,1,1
95502,Lino Sanabria,0,1
95677,Ercílio Carvalho da Silva,1,1
95811,Liane Bordignon,0,1
95812,Yong su Han,0,1
96128,Carlos Maria Carballo,0,1
96136,Carlos Vasquez,1,1
96137,Luis Bladismir Ruiz Leal,0,1
96138,Sergio Muñoz,0,1
96141,José Gomes,0,1
95736,Alberto Saa,15,15
96139,Renato Vidal Martins,2,2
96142,Gabriel Calsamiglia,0,1
96145,Dirce Uesu,0,1
96148,Jaime Edmundo Rodriguez,0,1
96144,Luis Gustavo Nonato,4,4
96143,Thomas Lewiner,5,4
96191,Antonio Castelo,2,1
96193,Sergio Roberto Freitas,0,1
96194,Sinésio Pesco,1,1
96192,Hélio Lopes,8,3
96345,Jose Carlos de Miranda,0,1
96253,Mario Bessa,3,3
96590,Luciano Bedin,0,1
96346,Maria Silvia Moura,0,1
97417,Sofía Pinzón,0,1
97890,Helios Malebranche,0,1
96353,Airlane Alencar,0,1
97891,Paulo Cesar Vieira,0,1
97892,Denise Pinto,0,1
98140,Marcos Primo,0,1
98054,Sonia Monteiro,0,1
98141,Claudia Gentile,4,4
98142,Simone Bruschi,0,1
98143,German Lozada-Cruz,1,1
98144,Karina Schiabel,0,1
98180,Marlio Paredes,0,1
98248,Leandro Colau Merlo,0,1
98319,Fábio Gonçalves,0,1
98679,Alexandre Linhares,1,1
98538,Adriano Polpo de Campos,1,1
98812,Iryna Kashuba,1,1
99009,Marcelo Limeira,0,1
98936,Eduardo Garibaldi,3,3
99011,José Becceneri,0,1
99010,Maria Pinto,0,1
99012,José Contador,0,1
99013,Carlos Alberto Sanches,0,1
99083,Aldir Brasil Jr.,0,1
99172,Jair Cunha Filho,0,1
99084,Andre Gomes,1,1
99646,Neuza Kakuta,0,1
99794,Jorge Larangeira,0,1
99691,Marcos Ferreira de Araújo,0,1
99907,Leonardo Biliotti,0,1
99806,Daniel Tausk,2,2
99969,Bernardo Tura,3,3
99983,Vinícius Mello,0,1
100005,Alberto Adade Filho,0,1
100007,Marco Caetano,0,1
100006,Fábio Araújo,1,1
100008,Daniel Cajueiro,0,1
100009,Laurizete Camargo,0,1
100010,"Antonio da Silva, Jr.",0,1
100011,Evandro de Souza,0,1
100012,Roberto Galvìo,0,1
100014,Jackson Matsuura,0,1
100013,André Maitelli,0,1
100015,Leizer Schnitman,0,1
100042,Eduardo Botter,0,1
100098,Eduardo Hoefel,1,1
100168,Paulo Machado,0,1
100560,Milos Ivkovic,0,1
101245,Mauricio Romero Sicre,0,1
101671,Luci Fatori,0,1
101595,Arlindo da Conceição,0,1
101423,Danilo Royer,0,1
101307,Cristian Coletti,4,4
102254,Duilio Conceição,0,1
102255,Henrique Versieux,0,1
102304,Rodrigo Montes,0,1
102366,José Fernandes Andrade,0,1
102367,Cleto B. Miranda Neto,1,1
101665,Jaime Muñoz Rivera,35,20
103000,Eduardo Xavier,2,2
102532,Juliano Arruda,0,1
102528,Santos Enriquez-Remigio,0,1
103857,Eyup Kizil,0,1
104012,Adolfo Neto,0,1
104058,Jorge Neto,0,1
104057,Paulo Rodrigues,0,1
104141,Fernando Paredes,0,1
104284,Vanilde Bisognin,0,1
104285,Ruy Charão,0,1
104312,Jose Luyo Sanchez,0,1
104766,Meysam Nassiri,0,1
104313,Ademir Pazoto,10,5
105075,Adriana Bruscato,0,1
105419,Washington Silva,0,1
105420,Fabyano Silva,1,1
105480,Francisco Cysneiros,0,1
105456,Gilberto Paula,6,3
105564,Marcelo Ferraz,0,1
105584,Marcelo Cirillo,0,1
106040,Albo Cavalheiro,0,1
105585,Janser Pereira,0,1
106045,Vera Carbone,0,1
106052,Marcelo Nascimento,1,1
106276,Dany Kruczan,0,1
106333,Ailín Ruiz de Zárate Fábregas,2,2
106400,Antonio Teixeira,1,1
106408,José Acacio de Barros,0,1
106976,Denise Botter,0,1
106977,Elisete Aubin,0,1
106978,Isolde Previdelli,0,1
106980,Margareth Udo,0,1
106975,Silvia Ferrari,13,10
106979,Rosangela Santana,0,1
107479,Andres Koropecki,2,2
107891,Edson Figueiredo,0,1
108014,João Sato,0,1
107681,Mauricio Kischinhevsky,4,4
107109,Caetano Traina Jr.,12,11
108225,Richard Luz,0,1
108226,Jorge de Lacerda,0,1
108256,Angela Sitta,0,1
108309,Maria Silvana Costa,0,1
108569,Josimar Rocha,0,1
108570,Ricardo de Oliveira,0,1
108894,Juan Ruilova,0,1
108554,Marcos Cavalcante,10,7
110023,Raphael de Camargo,0,1
110017,Francisco Silva,0,1
110155,César Vélez,0,1
110452,Nevena Maric,0,1
110495,Renê Del Pietro,0,1
110562,Fabio Carvalho,0,1
110684,Laira Toscani,0,1
110608,Elismar Oliveira,0,1
110639,Leila Fonseca,0,1
111267,Walter Carnielli,3,3
111275,João Marcos,0,1
111350,Rogério Siqueira,0,1
111429,Anliy Sergeant,0,1
111486,Dimas Morera,0,1
111529,Moacyr da Silva,0,1
111515,Fábio Ramos,0,1
111534,Jimmy Santamaria Torrez,0,1
111532,Boris Madrazo,0,1
111649,Marcelo Saia,8,7
111655,Luiz Favaro,52,1
111695,Rodrigo Martins,0,1
111660,Gilberto Loibel,64,3
111729,Ricardo Vêncio,0,1
112001,Armando Caputi,0,1
112003,Patricia Baptistelli,0,1
111894,Marcelo Alves,10,6
112098,Guilherme Leal,0,1
112099,Albertina Zatelli,0,1
111650,Maria Ruas,51,22
112101,Maria Merlini Giuliani,0,1
112100,Stanley Juriaans,3,3
112102,José Saraiva,0,1
112103,Thierry Lobão,0,1
112487,Denise de Mattos,3,3
112483,Carlos Biasi,9,5
112488,Edivaldo dos Santos,2,2
112490,Isabel Rossini,0,1
112489,Alice Libardi,0,1
112622,Said Adi,0,1
112902,Geraldine Bosco,0,1
112678,Roberto Cabrales,0,1
112888,Taygoara Oliveira,0,1
112495,Joao Strapasson,4,4
112904,Alexandre Leichsenring,0,1
112903,Mauricio Zuluaga,0,1
112911,José Romeo,0,1
113048,Elder Villamizar-Roa,1,1
112938,Stavros Christodoulou,0,1
113209,Márcia Branco,1,1
113875,Erica Fornaroli,0,1
113217,Jorge Bazan,0,1
113370,Angelo Papa Neto,0,1
113948,Alejandro Kocsard,1,1
114293,Martin Andersson,0,1
114788,Cibele Behrens,0,1
114792,Edison Tito,0,1
114294,Paulo Varandas,4,4
114793,Esther Salazar,0,1
114794,Carlos Abanto,0,1
114795,Ralph Silva,0,1
115310,Sheila Chagas,0,1
115317,Sebastião Marques Firmo,1,1
115320,Tarcísio Pequeno,11,3
115295,Marcelo Coniglio,16,13
115339,Arthur Buchsbaum,0,1
115342,Alberto Sarmiento,0,1
115706,Mauro Patrao,0,1
115715,Víctor Fernández,2,2
115887,Jose Miguel Veloso,1,1
116263,Carlos Frederico Palmeira,0,1
115319,Newton Da Costa,32,22
116293,Jean-Yves Béziau,0,1
116949,Benjamin Wilson,0,1
117109,Luís Meira,0,1
117229,Sonia Leite Garcia,0,1
116565,Manuel Garcia,18,8
117981,Jean Barros,0,1
118074,Saeed Tafazolian,0,1
117236,Fabio Tal,8,8
118103,Juscelino Silva,0,1
118126,Guillermo Rodríguez-Blanco,1,1
118632,Gerardo Vianna,0,1
118633,André Fujita,1,1
119096,Sandra Jorge,0,1
119281,Paulo Sousa,0,1
119283,Isaac Lázaro,0,1
119284,Vicente Neto,0,1
119263,Igor Freire,7,7
119282,Cleon Barroso,2,2
119332,Ederson dos Santos,0,1
119616,Aquiles de Queiroz,0,1
119618,Edson Cáceres,0,1
119615,Sulamita Klein,4,4
119617,Vânia Dias,0,1
119619,Antônio Pinho,0,1
119620,Carlos Franco,0,1
119623,Edgar Dias Batista Júnior,0,1
119621,Paulo Pinto,0,1
119625,Oscar Porto,0,1
119624,Mitre Dourado,2,2
119626,Fábio Protti,6,4
119627,Mónica Villanueva Ilufi,0,1
119628,Márcia Cerioli,1,1
119630,Magali Barroso,0,1
119631,Emerson Monte Carmelo,0,1
119634,Rommel Barbosa,0,1
119632,Lilian Markenzon,2,1
119633,Noemi dos Santos,0,1
119635,Célia de Mello,5,3
120078,Thiago Fassarella,0,1
120197,Marcelo Buosi,0,1
119637,Celina de Figueiredo,15,9
120198,Lizandro Challapa,0,1
120199,João Carlos Costa,0,1
120182,Claudio Vidal,14,14
120202,Maria Elenice Hernandes,0,1
120200,Alexandre Fernandes,4,4
120203,Dirce Mochida,0,1
120201,Nivaldo Grulha Jr.,8,7
120204,Antonio Nogueira,0,1
120205,Raimundo Araújo dos Santos,5,5
120206,João Tomazella,4,4
120325,Lafayette De Moraes,2,1
120326,Celina Pereira Abar,0,1
120327,Leila Puga,0,1
120328,Luiz De Alcântara,0,1
120325,Lafayette De Moraes,2,1
120330,Walzi Da Silva,0,1
120329,Mineko Yamashita,0,1
120331,Adonai Sant'anna,0,1
120332,Carlos Knusden,0,1
120335,Jair Abe,0,1
120334,Edélcio De Souza,0,1
120333,Décio Krause,4,4
120336,Marcelo Tsuji,0,1
120337,Marcio Chaves-Tannús,0,1
120338,Antonio Sette,0,1
120339,Amadeo Hiller,0,1
120340,Itala D'ottaviano,2,2
120342,Clara Sánchez Botero,0,1
120343,Ayda Arruda,0,1
120422,Ricardo Lima,0,1
120421,Francisco Carvalho Junior,3,3
120555,Eliris Rizzioli,0,1
120554,Victor Peres,0,1
120556,Liane Soares,0,1
120557,"Carlos Soares, Jr.",0,1
120652,Juan Galvis,0,1
120794,Suzi Camey,0,1
120816,Caio Azevedo,0,1
120912,Luciana Elias,0,1
120913,Jose Campos de Souza,0,1
121113,Solange Mancini,0,1
120914,Gisela Tunes da Silva,0,1
121263,Alex Ramos,0,1
121264,Caliteia de Sousa,0,1
121105,Didier Pilod,4,4
121300,Thiago Venancio,0,1
121378,Raul Behs,0,1
121299,Luciano Digiampietri,2,2
121351,Ricardo Torres,2,2
121441,Clécio Ferreira,0,1
122068,Flavia Fernandes,0,1
122069,Edson Martinez,0,1
122296,Katia Alfaro,0,1
122297,Reiko Aoki,1,1
122100,Regilene Oliveira,6,5
122300,João do Nascimento,0,1
122303,Filidor Labra,0,1
122308,Mónica Sandoval,0,1
122307,Manuel Galea-Rojas,2,2
122319,Cleber Bisognin,0,1
122536,Elisandra Bär de Figueiredo,0,1
122311,Reinaldo Arellano-Valle,3,3
123685,Adilson Simonis,0,1
123686,Denise Duarte,0,1
123684,Miguel Abadi,5,5
123687,Florencia Leonardi,0,1
123689,Divanilda Esteves,0,1
123748,Sergio Alves,0,1
123750,Sergio de Azevedo,0,1
123749,Antonio Brandao,1,1
123751,Marcello Fidelis,0,1
123752,Ednei Santulo,0,1
123826,Roberto Alamino,0,1
124896,Oswaldo Fonseca,0,1
123915,Christina Brech,1,1
124680,Marcos Eduardo Valle,2,2
124482,Carlos Gutierrez,7,5
125165,Wagner Cortes,1,1
125166,João Lazzarin,0,1
125167,Edilson Miranda,0,1
125168,Janice Nery,0,1
125170,Rogério Steffenon,0,1
125169,Virginia Rodrigues,2,2
125191,Miguel Ferrero,1,1
125929,David Dias,0,1
125171,Alveri Sant'Ana,3,3
125659,Liliam Cardeño,0,1
125365,Juan Duran,0,1
125931,Cíntia Silva,0,1
125930,Marcela Merklen,0,1
126199,Antonio Apolinário Jr.,0,1
126206,Joana Mohr,0,1
126198,José Franco Mexas,0,1
126260,Eduardo Barrére,0,1
126261,Disney Douglas de Lima Oliveira,0,1
